Category: All categories

Month,pratt institute: (United States)
2004-01,100
2004-02,63
2004-03,70
2004-04,74
2004-05,59
2004-06,60
2004-07,58
2004-08,54
2004-09,73
2004-10,75
2004-11,73
2004-12,64
2005-01,60
2005-02,64
2005-03,65
2005-04,51
2005-05,60
2005-06,47
2005-07,53
2005-08,62
2005-09,67
2005-10,63
2005-11,68
2005-12,53
2006-01,69
2006-02,55
2006-03,53
2006-04,66
2006-05,47
2006-06,46
2006-07,49
2006-08,54
2006-09,58
2006-10,55
2006-11,49
2006-12,49
2007-01,56
2007-02,48
2007-03,55
2007-04,51
2007-05,47
2007-06,40
2007-07,38
2007-08,53
2007-09,48
2007-10,53
2007-11,46
2007-12,44
2008-01,53
2008-02,39
2008-03,41
2008-04,49
2008-05,44
2008-06,35
2008-07,38
2008-08,48
2008-09,55
2008-10,54
2008-11,52
2008-12,49
2009-01,52
2009-02,45
2009-03,57
2009-04,58
2009-05,48
2009-06,44
2009-07,46
2009-08,53
2009-09,58
2009-10,60
2009-11,57
2009-12,58
2010-01,60
2010-02,47
2010-03,56
2010-04,61
2010-05,51
2010-06,42
2010-07,35
2010-08,37
2010-09,51
2010-10,48
2010-11,50
2010-12,41
2011-01,43
2011-02,35
2011-03,39
2011-04,39
2011-05,34
2011-06,32
2011-07,30
2011-08,43
2011-09,50
2011-10,39
2011-11,44
2011-12,44
2012-01,46
2012-02,35
2012-03,44
2012-04,46
2012-05,34
2012-06,31
2012-07,30
2012-08,42
2012-09,45
2012-10,46
2012-11,41
2012-12,38
2013-01,41
2013-02,57
2013-03,43
2013-04,46
2013-05,36
2013-06,29
2013-07,33
2013-08,42
2013-09,36
2013-10,39
2013-11,37
2013-12,37
2014-01,40
2014-02,39
2014-03,42
2014-04,47
2014-05,38
2014-06,27
2014-07,31
2014-08,38
2014-09,39
2014-10,41
2014-11,31
2014-12,31
2015-01,39
2015-02,34
2015-03,35
2015-04,44
2015-05,35
2015-06,28
2015-07,30
2015-08,35
2015-09,37
2015-10,38
2015-11,39
2015-12,35
2016-01,35
2016-02,35
2016-03,40
2016-04,38
2016-05,33
2016-06,25
2016-07,24
2016-08,30
2016-09,30
2016-10,31
2016-11,35
2016-12,32
2017-01,34
2017-02,36
2017-03,38
2017-04,37
2017-05,31
2017-06,24
2017-07,24
2017-08,31
2017-09,30
2017-10,35
2017-11,36
2017-12,30
2018-01,37
2018-02,32
2018-03,31
2018-04,31
2018-05,26
2018-06,25
2018-07,26
2018-08,33
2018-09,31
2018-10,36
2018-11,34
2018-12,30
2019-01,35
2019-02,36
2019-03,31
2019-04,35
2019-05,32
2019-06,22
2019-07,24
2019-08,30
2019-09,33
2019-10,33
2019-11,33
2019-12,25
2020-01,27
2020-02,27
2020-03,25
2020-04,23
2020-05,24
2020-06,19
2020-07,21
2020-08,21
2020-09,24
2020-10,20
2020-11,17
2020-12,17
2021-01,18
2021-02,20
2021-03,18
2021-04,22
2021-05,19
2021-06,16
2021-07,15
2021-08,25
2021-09,21
2021-10,19
2021-11,19
2021-12,18
2022-01,21
2022-02,21
2022-03,28
2022-04,30
2022-05,24
2022-06,17
2022-07,18
2022-08,26
2022-09,24
2022-10,22
2022-11,22
2022-12,23
2023-01,24
2023-02,25
2023-03,23
2023-04,26
2023-05,22
2023-06,18
2023-07,18
2023-08,23
2023-09,24
2023-10,23
2023-11,23
2023-12,21
2024-01,24
2024-02,24
2024-03,23
2024-04,28
2024-05,25
2024-06,17
2024-07,17
2024-08,24
2024-09,23
2024-10,23
2024-11,20
2024-12,21
2025-01,19
2025-02,24
2025-03,24
2025-04,25
2025-05,24
2025-06,17
2025-07,19
2025-08,21
2025-09,20
2025-10,20
2025-11,21
2025-12,19
2026-01,22
2026-02,25
2026-03,25
2026-04,22
